iter	Passed	Remaining
0	4	2373
1	8	2055
2	11	1986
3	13	1732
4	17	1723
5	20	1720
6	24	1701
7	27	1713
8	31	1724
9	35	1748
10	40	1780
11	45	1836
12	49	1859
13	53	1868
14	58	1878
15	62	1881
16	66	1889
17	70	1883
18	73	1866
19	77	1861
20	81	1857
21	85	1862
22	89	1856
23	93	1854
24	97	1852
25	101	1842
26	103	1821
27	107	1804
28	110	1796
29	114	1788
30	117	1782
31	121	1778
32	125	1775
33	129	1772
34	133	1771
35	137	1766
36	140	1762
37	143	1749
38	146	1734
39	150	1729
40	154	1725
41	157	1721
42	161	1718
43	165	1716
44	168	1706
45	172	1702
46	175	1695
47	180	1695
48	183	1691
49	187	1689
50	191	1685
51	194	1678
52	198	1671
53	200	1659
54	204	1652
55	207	1643
56	210	1634
57	213	1630
58	216	1621
59	220	1615
60	224	1612
61	227	1609
62	231	1608
63	235	1601
64	239	1602
65	243	1598
66	246	1592
67	249	1586
68	251	1568
69	254	1562
70	257	1557
71	261	1555
72	264	1548
73	267	1541
74	271	1535
75	273	1528
76	278	1531
77	282	1528
78	286	1527
79	290	1523
80	294	1521
81	298	1520
82	302	1519
83	305	1514
84	309	1511
85	312	1506
86	316	1502
87	320	1498
88	322	1491
89	326	1486
90	329	1480
91	332	1474
92	335	1468
93	339	1465
94	342	1460
95	346	1456
96	349	1452
97	352	1445
98	355	1438
99	358	1435
100	362	1431
101	365	1427
102	369	1423
103	372	1417
104	375	1414
105	379	1409
106	382	1404
107	386	1402
108	389	1398
109	393	1396
110	396	1389
111	400	1388
112	404	1384
113	407	1381
114	411	1377
115	414	1373
116	418	1369
117	421	1366
118	425	1361
119	428	1357
120	433	1356
121	436	1353
122	440	1350
123	444	1347
124	447	1342
125	450	1337
126	453	1332
127	456	1327
128	460	1323
129	462	1315
130	465	1312
131	469	1310
132	474	1308
133	477	1304
134	480	1298
135	484	1297
136	488	1293
137	491	1289
138	495	1285
139	498	1282
140	501	1276
141	505	1274
142	508	1270
143	512	1267
144	516	1264
145	519	1259
146	523	1256
147	526	1253
148	530	1249
149	534	1247
150	538	1243
151	541	1240
152	545	1237
153	548	1232
154	552	1229
155	556	1226
156	560	1223
157	563	1220
158	566	1215
159	570	1212
160	574	1209
161	577	1205
162	581	1202
163	585	1199
164	589	1196
165	593	1194
166	597	1191
167	601	1188
168	605	1186
169	608	1181
170	613	1179
171	616	1175
172	619	1171
173	622	1166
174	626	1163
175	630	1159
176	632	1153
177	636	1150
178	639	1146
179	642	1142
180	646	1138
181	649	1134
182	652	1131
183	655	1126
184	659	1122
185	662	1118
186	666	1115
187	669	1111
188	672	1106
189	676	1103
190	679	1098
191	682	1095
192	686	1092
193	689	1088
194	693	1084
195	696	1080
196	700	1077
197	703	1072
198	706	1068
199	709	1064
200	713	1060
201	715	1055
202	718	1051
203	722	1048
204	725	1044
205	729	1041
206	733	1038
207	736	1034
208	740	1031
209	743	1026
210	747	1024
211	752	1021
212	754	1017
213	757	1012
